地區,大廈名單,個案最後到訪日期,相關個案編號
九龍城,九龍維景酒店,,12871
灣仔,利順大樓,,12872
離島,竹篙灣檢疫中心,,12873
離島,竹篙灣檢疫中心,,12874
離島,竹篙灣檢疫中心,,12875
東區,太古城燕宮閣,,12880
東區,柴灣邨灣畔樓,,12882
灣仔,毓成大廈,,12883
離島,指定檢疫設施（竹篙灣檢疫中心）,,12884
沙田,指定檢疫設施（香港沙田萬怡酒店）,,12885
離島,指定檢疫設施（竹篙灣檢疫中心）,,12886
油尖旺,香港金域假日酒店,,12886
九龍城,九龍維景酒店,,12887
油尖旺,華美達華麗酒店,,12888
東區,華美達盛景酒店,,12889
中西區,One-Eight-One 酒店及服務式住宅,,12890
油尖旺,香港海景絲麗酒店,,12891
油尖旺,香港海景絲麗酒店,,12892
油尖旺,香港海景絲麗酒店,,12893
離島,指定檢疫設施（麗豪航天城酒店）,,12894
油尖旺,香港海景絲麗酒店,,12895
九龍城,九龍維景酒店,,12896
九龍城,九龍維景酒店,,12897
油尖旺,香港金域假日酒店,,12898
灣仔,華麗銅鑼灣酒店,,12899
九龍城,香港嘉里酒店,,12900
油尖旺,華美達華麗酒店,,12901
油尖旺,華美達華麗酒店,,12902
西貢,安寧花園6座,,12903
離島,竹篙灣檢疫中心,,12903
荃灣,香港遠東絲麗酒店,,12904
九龍城,九龍維景酒店,,12905
灣仔,華麗銅鑼灣酒店,,12906
灣仔,華麗銅鑼灣酒店,,12907
離島,逸東(二)邨信逸樓,,12908
大埔,美新大廈,,12909
大埔,美新大廈,,12910
離島,竹篙灣檢疫中心,,12911
離島,指定檢疫設施（竹篙灣檢疫中心）,,12912
東區,富麗園B座,,12913
離島,指定檢疫設施（竹篙灣檢疫中心）,,12914
沙田,指定檢疫設施（香港沙田萬怡酒店）,,12915
離島,竹篙灣檢疫中心,,12916
離島,香港東涌福朋喜來登酒店,,12926
油尖旺,華美達華麗酒店,,12927
灣仔,香港銅鑼灣皇冠假日酒店,,12928
中西區,蘭桂坊酒店@九如坊,,12929
離島,指定檢疫設施（竹篙灣檢疫中心）,,12930
離島,指定檢疫設施（竹篙灣檢疫中心）,,12931
中西區,香港置地文華東方酒店,,12935
中西區,香港置地文華東方酒店,,12936
九龍城,紅茶館酒店紅磡機利士南路,,12937
大埔,美新大廈,,12941
油尖旺,香港海景絲麗酒店,,12943
離島,竹篙灣檢疫中心,,12944
屯門,愛琴海岸8座,,12945
離島,指定檢疫設施（竹篙灣檢疫中心）,,12946
黃大仙,香港九龍貝爾特酒店,,12947
油尖旺,華美達華麗酒店,,12948
葵青,指定檢疫設施（華逸酒店）,,12949
九龍城,九龍維景酒店,,12955
東區,明華大廈1座,,12960
