District,Building name,Last date of visit of the case(s),Related cases
Kowloon City,Metropark Hotel Kowloon,,12871
Wan Chai,Lee Shun Building,,12872
Islands,Penny's Bay Quarantine Centre,,12873
Islands,Penny's Bay Quarantine Centre,,12874
Islands,Penny's Bay Quarantine Centre,,12875
Eastern,"Yen Kung Mansion, Taikoo Shing",,12880
Eastern,"Wan Poon House, Chai Wan Estate",,12882
Wan Chai,Yuk Sing Building,,12883
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12884
Sha Tin,Designated Quarantine Facility (Courtyard by Marriott Hong Kong Sha Tin),,12885
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12886
Yau Tsim Mong,Holiday Inn Golden Mile Hong Kong,,12886
Kowloon City,Metropark Hotel Kowloon,,12887
Yau Tsim Mong,Ramada Hong Kong Grand,,12888
Eastern,Ramada Hong Kong Grand View,,12889
Central & Western,One-Eight-One Hotel & Serviced Residences,,12890
Yau Tsim Mong,Silka Seaview Hotel Hong Kong,,12891
Yau Tsim Mong,Silka Seaview Hotel Hong Kong,,12892
Yau Tsim Mong,Silka Seaview Hotel Hong Kong,,12893
Islands,Designated Quarantine Facility (Regala Skycity Hotel),,12894
Yau Tsim Mong,Silka Seaview Hotel Hong Kong,,12895
Kowloon City,Metropark Hotel Kowloon,,12896
Kowloon City,Metropark Hotel Kowloon,,12897
Yau Tsim Mong,Holiday Inn Golden Mile Hong Kong,,12898
Wan Chai,Best Western Hotel Causeway Bay,,12899
Kowloon City,Kerry Hotel Hong Kong,,12900
Yau Tsim Mong,Ramada Hong Kong Grand,,12901
Yau Tsim Mong,Ramada Hong Kong Grand,,12902
Sai Kung,"Block 6, On Ning Garden",,12903
Islands,Penny's Bay Quarantine Centre,,12903
Tsuen Wan,Silka Far East Hotel Hong Kong,,12904
Kowloon City,Metropark Hotel Kowloon,,12905
Wan Chai,Best Western Hotel Causeway Bay,,12906
Wan Chai,Best Western Hotel Causeway Bay,,12907
Islands,"Shun Yat House, Yat Tung (2) Estate",,12908
Tai Po,Mei Sun Building,,12909
Tai Po,Mei Sun Building,,12910
Islands,Penny's Bay Quarantine Centre,,12911
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12912
Eastern,"Block B, Flora Garden",,12913
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12914
Sha Tin,Designated Quarantine Facility (Courtyard by Marriott Hong Kong Sha Tin),,12915
Islands,Penny's Bay Quarantine Centre,,12916
Islands,Four Points By Sheraton Hong Kong Tung Chung,,12926
Yau Tsim Mong,Ramada Hong Kong Grand,,12927
Wan Chai,Crowne Plaza Hong Kong Causeway Bay,,12928
Central & Western,Lan Kwai Fong Hotel @ Kau U Fong,,12929
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12930
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12931
Central & Western,The Landmark Mandarin Oriental Hong Kong,,12935
Central & Western,The Landmark Mandarin Oriental Hong Kong,,12936
Kowloon City,Bridal Tea House Hotel Hung Hom Gillies Avenue South,,12937
Tai Po,Mei Sun Building,,12941
Yau Tsim Mong,Silka Seaview Hotel Hong Kong,,12943
Islands,Penny's Bay Quarantine Centre,,12944
Tuen Mun,"Block 8, Aegean Coast",,12945
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12946
Wong Tai Sin,"Pentahotel Hong Kong, Kowloon",,12947
Yau Tsim Mong,Ramada Hong Kong Grand,,12948
Kwai Tsing,Designated Quarantine Facility (Rambler Garden Hotel),,12949
Kowloon City,Metropark Hotel Kowloon,,12955
Eastern,"Tower 1, Ming Wah Dai Ha",,12960
Islands,Penny's Bay Quarantine Centre,,12960
Islands,Penny's Bay Quarantine Centre,,12961
Yau Tsim Mong,"Tower 2, Harbour Green",,12962
Islands,Regal Airport Hotel,,12964
Islands,Penny's Bay Quarantine Centre,,12965
Tuen Mun,"Tower 8, Aegean Coast",,12966
Islands,Penny's Bay Quarantine Centre,,12967
Islands,Regal Airport Hotel,,12968
Islands,Penny's Bay Quarantine Centre,,12969
Sai Kung,"Block 6, On Ning Garden",,12969
Islands,Penny's Bay Quarantine Centre,,12970
Kwai Tsing,Designated Quarantine Facility (Silka Tsuen Wan),,12975
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12976
Islands,Penny's Bay Quarantine Centre,,12977
Islands,Penny's Bay Quarantine Centre,,12978
Islands,Penny's Bay Quarantine Centre,,12979
Islands,Penny's Bay Quarantine Centre,,12980
Islands,Penny's Bay Quarantine Centre,,12981
Yau Tsim Mong,Silka Seaview Hotel Hong Kong,,12981
Islands,Penny's Bay Quarantine Centre,,12982
Islands,Designated Quarantine Facility (Regala Skycity Hotel),,12983
Islands,Penny's Bay Quarantine Centre,,12985
Islands,Penny's Bay Quarantine Centre,,12986
Tuen Mun,"Tower 8, Aegean Coast",,12987
Tuen Mun,"Tower 8, Aegean Coast",,12988
Islands,Penny's Bay Quarantine Centre,,12989
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12990
Wan Chai,Best Western Hotel Causeway Bay,,12991
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12991
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12992
Central & Western,Courtyard By Marriott Hong Kong,,12993
Yau Tsim Mong,"Silka Seaview Hotel, Hong Kong",,12994
Islands,Regal Airport Hotel,,12995
Yau Tsim Mong,Holiday Inn Golden Mile Hong Kong,,12996
Eastern,Ramada Hong Kong Grand View,,12997
Yau Tsim Mong,"Dorsett Mongkok, Hong Kong",,12998
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,12998
Islands,Penny's Bay Quarantine Centre,,13003
Tuen Mun,"Block 3, Po Tin Estate",,13004
Islands,Regal Airport Hotel,,13005
Kowloon City,iclub Ma Tau Wai Hotel,,13006
Islands,Penny's Bay Quarantine Centre,,13008
Islands,Penny's Bay Quarantine Centre,,13009
Islands,Penny's Bay Quarantine Centre,,13010
Eastern,"Phase 3, Maple Gardens",,13011
Southern,"Pik Long House, Shek Pai Wan Estate",,13012
Kwun Tong,"Tower 1, Maya",,13014
Islands,Regal Airport Hotel,,13015
Eastern,Empire Hotel Causeway Bay,,13016
Eastern,Empire Hotel Causeway Bay,,13017
Kowloon City,Kerry Hotel Hong Kong,,13018
Central & Western,Best Western Plus Hotel Hong Kong,,13019
Islands,Designated Quarantine Facility (Penny's Bay Quarantine Centre),,13019
Islands,Penny's Bay Quarantine Centre,,13020
Islands,Penny's Bay Quarantine Centre,,13021
Yuen Long,"Yat Wan House, Tin Yat Estate",,13022
Tuen Mun,"Tower 1, JC Place",,13026
Islands,Penny's Bay Quarantine Centre,,13027
Islands,Penny's Bay Quarantine Centre,,13029
Islands,Penny's Bay Quarantine Centre,,13030
Islands,Penny's Bay Quarantine Centre,,13031
Islands,Regala Skycity Hotel,,13032
Islands,Penny's Bay Quarantine Centre,,13033
Kwai Tsing,Silka Tsuen Wan Hong Kong,,13038
Islands,Penny's Bay Quarantine Centre,,13039
Kwai Tsing,"Wang Sin House, Cheung Wang Estate",,13041
Kwai Tsing,Silka Tsuen Wan Hong Kong,,13042
Islands,Four Points By Sheraton Hong Kong Tung Chung,,13043
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",,13045
Islands,Penny's Bay Quarantine Centre,,13046
