地區,大廈名單,name,lat,lng
中西區,僑發大廈,僑發大廈,22.2866074,114.1463971
中西區,勵精中心 (非住宅),勵精中心,22.2831406,114.1551291
中西區,城紫蘭樓,紫蘭樓,22.2819117,114.1309879
中西區,堅尼地城社區綜合大樓 (非住宅),堅尼地城社區綜合大樓,22.281904,114.12908
中西區,寶翠閣B座,寶翠閣A座,22.2850662,114.1319268
中西區,康威花園A座,康威花園,22.287179,114.1497071
中西區,怡和大廈 (非住宅),怡和大廈,22.2829926,114.1592393
中西區,歷山大廈 (非住宅),星巴克,22.281453,114.1584445
中西區,永和街和興商業大廈 (非住宅),和興商業大廈,22.2850509,114.1538039
中西區,海富中心1座 (非住宅),海富中心寫字樓1座,22.279499,114.1647831
中西區,統一中心 (非住宅),統一中心,22.2784312,114.1654177
中西區,置地廣塲 (非住宅),置地廣塲中庭,22.2806759,114.1576919
中西區,美菲閣2座,美菲閣2座,22.2820974,114.1277945
中西區,翰林軒1座,翰林軒1座,22.2815797,114.1302563
中西區,聯友新樓 佳記餐廳 (非住宅),佳記餐廳,22.2824096,114.1277172
中西區,聯發商業中心 (非住宅),聯發商業中心,22.2862617,114.1484023
中西區,萬安商業大廈 (非住宅),順安商業大廈,22.284352,114.155289
中西區,西環邨中苑臺,西環邨中苑臺,22.2809938,114.1259366
中西區,誠利商場 (非住宅),誠利商塲,22.285012,114.153821
九龍城,九龍城道151號,浩明雅苑,22.3208477,114.1899509
九龍城,九龍城道157-159號寶成洋樓,救世軍九龍城家庭支援中心,22.32122,114.190148
九龍城,何文田邨欣文樓,欣文樓,22.314914,114.181911
九龍城,何文田邨綺文樓,綺文樓,22.316301,114.182616
九龍城,何文田邨適文樓,何文田邨適文樓,22.31494,114.183085
九龍城,偉恆昌新村恆景閣 (非住宅),恆景閣I座,22.3178157,114.1929349
九龍城,偉華園,偉華園,22.3264469,114.1811016
九龍城,唯一大廈 (非住宅),唯一大廈,22.3156637,114.1886157
九龍城,土瓜灣定安大廈 (非住宅),定安大廈H座,22.3176162,114.1899605
九龍城,土瓜灣立基大廈,立基大廈,22.320793,114.189712
九龍城,土瓜灣街市 (非住宅),土瓜灣街市,22.3172238,114.1880992
九龍城,大龍樓,大龍樓,22.316448,114.189482
九龍城,天鑄1期7座,天鑄,22.3118621,114.1820435
九龍城,奧斯酒店,奧斯酒店 O' Hotel,22.316882,114.188499
九龍城,定安大廈,定安大廈H座,22.3176162,114.1899605
九龍城,家維邨家邦樓,家維邨5座家邦樓,22.3083416,114.1868984
九龍城,寶成洋樓,寶成洋樓,22.3211842,114.1901449
九龍城,崇廉樓,崇廉樓,22.311372,114.189108
九龍城,嶺南大廈,嶺南大廈,22.3168848,114.1893699
九龍城,工業貿易大樓 (非住宅),工業貿易大樓,22.3325978,114.1978205
九龍城,德朗邨德珊樓,德朗邨德珊樓,22.32985,114.2042924
九龍城,德朗邨德琦樓,德朗邨德琦樓,22.3294094,114.203988
九龍城,德朗邨德瑞樓,德朗邨德瑞樓,22.3288432,114.2037094
九龍城,德朗邨德瑩樓,德朗邨德瑩樓,22.3297452,114.2029663
九龍城,德朗邨德璋樓,德朗邨德璋樓,22.3293706,114.2032682
九龍城,德豐樓,德豐樓,22.3299323,114.1919828
九龍城,愛民邨信民樓,九龍城區青少年外展社會工作隊,22.312223,114.179887
九龍城,愛民邨嘉民樓,九龍城區青少年外展社會工作隊,22.312223,114.179887
九龍城,播道醫院 (非住宅),播道醫院,22.3251652,114.1869162
九龍城,旺德大廈,朋德大廈,22.329672,114.190853
九龍城,春田街福運大廈,中銀九龍城大樓,22.32875,114.189709
九龍城,浩明雅苑,浩明雅苑停車場,22.320832,114.189934
九龍城,海濱南岸6座,海濱南岸,22.3033333,114.1863889
九龍城,海逸豪園20座,海逸豪園,22.3075221,114.1926942
九龍城,海逸豪園3期12A座,海逸豪園悅濤灣12A座,22.308971,114.192679
九龍城,海逸豪園3期悅濤灣8座,海逸豪園悅濤灣12A座,22.308971,114.192679
九龍城,海逸豪園8座,海逸豪園,22.3075221,114.1926942
九龍城,港圖灣,港圖灣,22.3158664,114.1914062
九龍城,溫思勞街19號,紅磡溫思勞街19號,22.307211,114.182449
九龍城,獅子石道17號 (非住宅),九龍城獅子石道17號,22.3282026,114.188033
九龍城,碧華花園3座,碧華花園,22.32743,114.183488
九龍城,福運大廈,中銀九龍城大樓,22.32875,114.189709
九龍城,紅磡海逸豪園20座,海逸豪園,22.3075221,114.1926942
九龍城,美景街2號美景樓一期,美景樓一期,22.3161111,114.1908333
九龍城,聖德肋撒醫院 (非住宅),聖德肋撒醫院,22.3262591,114.184829
九龍城,衙前圍道122號,九龍城衙前圍道122號,22.3290752,114.1883313
九龍城,雅麗居2座,雅麗居,22.323282,114.1825015
九龍城,露明道4號,露明道4-6號,22.3257706,114.1857595
九龍城,馬頭圍邨芙蓉樓,民社服務中心「九龍城食物回收助人計劃」聯絡處,22.3235842,114.1866106
九龍城,黃埔天地 博藝會 (非住宅),ClubONE 博藝會,22.304951,114.190859
九龍城,黃埔花園4期6座,黃埔花園,22.3047355,114.1902873
九龍城,黃埔花園4期棕櫚苑6座,黃埔花園棕櫚苑,22.303809,114.188853
九龍城,黃埔花園棕櫚苑1座,黃埔花園四期棕櫚苑1座,22.3041987,114.1881771
九龍城,黃埔花園棕櫚苑4期2座,黃埔花園棕櫚苑,22.303809,114.188853
九龍城,黃埔花園棕櫚苑4期6座,黃埔花園棕櫚苑,22.303809,114.188853
九龍城,黃埔花園棕櫚苑4期棕櫚苑6座,黃埔花園棕櫚苑,22.303809,114.188853
九龍城,黃埔花園棕櫚苑6座,黃埔花園棕櫚苑,22.303809,114.188853
九龍城,黃埔花園紫荊苑11期5座,黃埔花園十一期紫荊苑,22.305919,114.190339
九龍城,黃埔號 (非住宅),黃埔花園,22.3047355,114.1902873
九龍城,黃埔街18號,黃埔街18號,22.306145,114.184875
九龍城,龍譽 2B 座,龍譽,22.3280588,114.2006396
九龍城,龍譽2B座,龍譽,22.3280588,114.2006396
元朗,交通廣場 百份百餐廳 (非住宅),百分百餐廳,22.4436659,114.0321195
元朗,俊宏軒4座,俊宏軒4座,22.4696225,114.0013422
元朗,元朗安寧路順興樓,順興樓,22.4457579,114.0295133
元朗,元朗廣場 (非住宅),元朗廣場,22.4448907,114.0239001
元朗,加州花園紅花徑,新田紅花徑,22.487752,114.050281
元朗,嘉湖山莊翠湖居1座,嘉湖山莊翠湖居1座,22.4574914,113.9990903
