地區,district,land_area_sq_km,population_x_1000,population_density_persons_per_sq_km,
香港島,Hong Kong Island,79.93,1246,15590,
中西區,Central and Western,12.55,243.5,19410,
灣仔區,Wan Chai,10.56,180.1,17060,
東區,Eastern,17.99,550.6,30610,
南區,Southern,38.84,271.8,7000,
九龍,Kowloon,46.94,2296.9,48930,
油尖旺區,Yau Tsim Mong,6.99,333.5,47700,
深水埗區,Sham Shui Po,9.36,423.3,45230,
九龍城區,Kowloon City,10.02,426,42530,
黃大仙區,Wong Tai Sin,9.3,420.2,45170,
觀塘區,Kwun Tong,11.27,693.9,61560,
新界及離島,New Territories and Islands,955.08,3963.4,4150,
葵青區,Kwai Tsing,23.34,510.4,21870,
荃灣區,Tsuen Wan,61.94,315.3,5090,
屯門區,Tuen Mun,83.16,503.1,6050,
元朗區,Yuen Long,138.48,650.1,4690,
北區,North,136.48,317.9,2330,
大埔區,Tai Po,136.12,309.9,2280,
沙田區,Sha Tin,68.71,692.5,10080,
西貢區,Sai Kung,129.64,475.3,3670,
離島區,Islands,177.22,188.9,1070,
陸上總計,Land Total,1081.95,7506.2,6940,
